"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"DAG","DAG 36:1",11409410.3648635,45662189.4205205,50765128.8441806,31637732.2306441,50159633.7190501,54405827.1086937,24067535.2173645,26584080.2098869,17463736.674447
"DAG","DAG 36:10",4600789.0562863,5800028.73444153,10322468.3507083,15072096.7969271,7849003.8319865,2289406.4937204,14303603.8911931,3479242.72125051,2459825.63375913
"DAG","DAG 38:0",9850343.66406973,15634963.2820317,9716743.61993661,5599786.60220973,14117254.1369802,7284262.98428337,4843084.22153234,4595708.24409676,2871442.53593292
"DAG","DAG 38:10",3270415.79073666,8730364.58584978,17580458.2216963,10735766.7316304,11045349.5774118,13624053.9499926,4173965.73648274,19027009.8995966,4939576.35062392
"DAG","DAG 38:2",2436667.03223712,18728322.2515131,25700439.2919219,12284175.8030316,14303090.4126488,14122944.6824769,8056302.51022856,8233913.25279644,5508434.05433177
"DAG","DAG 38:7",23926739.985561,34192251.0386647,29801028.5237731,10430385.8354261,17279794.3074349,31187103.30528,4283409.1689505,61696239.1210729,26212760.0031799
"DAG","DAG 38:8",5273925.06427123,10007858.3526791,10358810.4404663,6179532.53780957,6715057.03791369,10002816.8472488,1781975.53247661,15367935.0977903,4582511.68161253
"DAG","DAG 38:9",13875990.3907602,42956934.8609519,42911669.7869691,27891472.8560879,45854699.9815035,58216439.4430285,7921817.86236064,49603223.1956809,14258023.3153145
"DAG","DAG 40:0",8207267.92160603,16170570.3656043,14114856.7326408,6669060.76507725,14727356.8624326,7938789.08332181,2865513.18213445,4369982.35964883,2734438.14415177
"DAG","DAG 40:10",65479050.0343996,192775964.708145,176850981.694031,92067651.9245211,65262456.0377422,169481533.181614,30366057.7740249,129254009.225615,212689137.548476
"DAG","DAG 40:11",4095298.95789507,7172296.97224819,22765268.6811309,29126309.1861251,10256547.6410084,3801895.09327355,23721090.4236076,4446822.13945459,3552693.32132558
"DAG","DAG 40:11 +3O",4865185.21401227,24502721.3593136,14368864.8792612,93383.2381881107,30577044.054665,9671251.58749764,42038.1510742884,18310907.3018233,14085266.6919263
"DAG","DAG 40:2",2006675.08468197,13462480.3001671,22899923.9860501,8479807.86017636,13272403.0937324,13425312.3534459,3451874.42548764,6347976.95979272,3448182.88791315
"DAG","DAG 42:0",4260877.68883506,14092679.336089,12190318.0828029,4859567.51556016,13391589.3266441,6712705.06821123,1808156.39928919,3646603.07709269,1697035.45047718
"DAG","DAG 44:0",2286178.23733992,8366993.10569547,6249180.06958344,2588852.48691519,7598279.76512592,3754847.07072045,1367449.1158222,1010547.99254724,914965.467990751
"DAG","DAG 44:12",39632074.9730909,125915406.154814,145289786.477482,87090355.2644288,65858737.8478767,150520940.762684,53673972.8092419,130824217.081037,75835472.2455409
"DAG","DAG 48:2",1112749.0642969,3396094.71501684,828532.180864616,420451.61343685,540152.838984897,1035891.48031621,78947.4996132054,3370226.28991171,1512715.48659197
