"species","compound_name","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1236","Orbi_1237","Orbi_1238","Orbi_1240","Orbi_1241","Orbi_1242","Orbi_1243","Orbi_1244","Orbi_1245","Orbi_1246","Orbi_1247","Orbi_1280","Orbi_1281","Orbi_1282","Orbi_1283","Orbi_1284","Orbi_1285","Orbi_1286","Orbi_1287","Orbi_1288","Orbi_1290","Orbi_1291","Orbi_1292","Orbi_1293","Orbi_1296","Orbi_1297","Orbi_1299","Orbi_1309","Orbi_1310","Orbi_1312","Orbi_1315","Orbi_1316"
"DAG","DAG 28:6 +1O",361236.385649733,488815.603467556,158650.558712851,1909534.70953688,310297.948693948,739576.572639576,616832.683332414,197000.980135468,736144.510331179,736928.689625968,61067.3667557994,664336.782661809,140903.891757423,159288.711949815,918789.956928515,748272.397574153,279051.599161663,18261.5719678616,140504.822770453,1704870.5241003,492175.705262263,422606.380424796,967136.11921987,79859.0997396343,14808.5282972225,163868.550142688,273383.460632845,470034.872267843,164733.508522112,315162.38461547,741950.320042679,626479.425306594,1005614.97228497,105597.993361593,1083246.06964058,1104383.47941966
"DAG","DAG 28:7 +1O",903167.62451771,1673951.82875584,135260.828749348,6097795.94748283,5824404.60543493,1244506.79209361,1425219.27572508,15406.141489036,914867.968179752,0,0,1418124.7836988,21460.0379965697,1374832.62037883,1797817.36907081,185210.20811905,489141.181791722,213546.513638569,215353.014789466,9126919.58088623,0,1525674.91274558,456577.080071723,85627.2734021096,0,25415.3500126369,1975595.63965208,87571.0936616814,19534.8489164726,203683.918477068,505387.376570298,2426620.44397688,1651795.7187398,963171.555631283,1291272.50244953,482949.236283781
"DAG","DAG 28:7 +3O",829749.768885011,2996663.46861569,174339.053558117,3135070.68045573,5915050.69806193,3722799.9123412,3591804.5142034,227245.721022257,2637217.55101833,41691.3291563777,166375.798207019,5261343.46029139,58554.2442833373,586639.468944246,4010611.81054517,2581449.81304549,435992.362778763,1295344.37722537,397984.656056906,2025678.24951254,165645.648407268,3738753.53548019,666114.056113157,0,50664.1017759706,168286.480683686,3117613.89655338,850482.698692822,95012.3560698821,3076080.95078758,1875276.46995055,6354004.40263382,5780399.87057315,510253.773279536,4603128.0471654,1617281.25938662
"DAG","DAG 30:1",775913.846356958,47842.8984413814,26111.8744159795,1277110.77658018,623899.772541401,88721.9313929964,96498.2493929797,58495.7395880671,68752.0131685666,225009.290829763,26179.5595277395,1706013.93353563,78777.7508151435,143930.141557926,3084298.23805954,1417999.95904549,2176200.26336066,304607.118090711,40072.5861976874,1932670.48744429,248171.191165305,2684551.80051987,0,39265.5655250394,0,948987.526914985,1267107.69675107,2757055.04150649,132035.263020598,439720.6257268,5412621.17666927,243206.751992277,2637583.44830542,109262.925155534,1605957.46606608,889770.745745915
"DAG","DAG 30:2",32768482.9452307,34165356.8891512,6714410.32980987,119229933.591558,89967885.902933,35638195.8091352,50027956.3605151,9234649.56367879,41053265.1727014,16496982.7501537,3960756.58115852,149386274.509773,12943659.7901052,7485596.26237789,62962342.3179911,117330212.658587,55301785.946016,25730320.1943272,23414495.4154255,101932527.182181,17285883.717079,61122284.0443365,39148286.741601,6744232.80765159,1456032.70568506,28713328.0934833,50431750.6711741,84348616.2294305,5446509.03635173,92715245.1799381,68548845.1720587,57948175.5133965,180838968.014487,4103402.08429241,141534956.349635,45329384.5335627
"DAG","DAG 30:3",27845984.5638112,38788390.72561,5539413.87191322,138065730.198903,98920208.9006865,39291714.8711705,49840107.6865217,4848326.72105449,44699751.0395202,9460010.47459785,2815896.44835473,118579883.112838,6828099.34673718,4731718.38512093,44318103.7844004,129002119.649732,34478575.9962084,32578484.9774154,26419409.3530621,114404724.560682,10140989.6979699,43667306.6500047,36798254.7165775,5904234.59889123,1390154.69426856,15658670.4910988,47457565.7821033,50544191.3739397,4374111.16856635,100395640.468228,35598187.8189589,57313547.810394,153949752.917258,3051896.99278467,105550409.687905,35045412.7100032
"DAG","DAG 32:0",330933.802591888,869084.276885428,77353.7111351824,852766.564327516,374956.277764691,871263.402321539,475832.373259289,15604.7174388111,1157180.44038237,433059.453086669,89790.9935660514,306038.044009236,0,131385.621503514,375916.898083464,2098548.30057159,586584.987672235,531547.201004147,306285.751205187,1492259.7239088,696032.425342354,494906.040652045,0,357166.910349807,693440.31438892,185836.749406873,206664.512440656,401141.239588772,952853.819695055,499249.15347036,1100340.02036535,1542343.72777981,800363.383766036,196421.286854123,375527.289751799,283398.12625737
"DAG","DAG 32:1",561367.489010388,396301.994918749,152826.623891156,2069091.72446758,853777.956327853,625962.007075833,727367.552516959,291223.083916726,192094.658970653,568071.14715453,499675.028344079,559272.535023195,364760.386560226,397426.052570088,1213807.19730767,1419886.92825793,1008488.84607787,435372.631257072,488126.048986798,1877566.59377354,509512.491146527,740599.317304133,0,364509.509696834,261359.809353227,417011.465049078,624100.678614864,746490.938141746,442338.987854759,990008.833966854,1987897.9825205,603548.973457164,924259.172244195,359901.692917226,497965.939616318,326185.76465183
"DAG","DAG 32:2",1623593.34155543,1205531.89558887,213457.959032614,4045377.30461741,4046530.71338148,1454074.24361275,1866013.47764743,287495.283715954,1478065.37392746,356519.951513842,132579.125193952,4870726.98903045,369398.066214881,130280.426351658,2583622.55340801,4241526.80554087,2360864.71637747,1126041.80972851,1197056.93527762,4122132.70213411,568464.680170042,2590620.45986003,1717029.97476763,117428.202031135,90579.3431222934,1157515.01076501,2203938.7559937,3156333.29019053,126510.992933916,3672699.75657781,2543179.18664022,2407228.9933005,5349488.80107552,186372.654489977,4666421.07300627,1586431.10048275
"DAG","DAG 32:4",175071.816425277,117190.759366873,34521.8475993914,2815063.95716334,1562770.93712917,212949.220169749,324643.375134715,281925.951622049,232697.513115953,539155.770253927,110032.440931692,993769.697468699,216670.555437082,0,2848387.79537744,3052509.75931011,1152593.29882226,397685.836052132,50698.4204684455,4010716.52622371,649452.528620746,3269266.91101265,203772.118346737,123808.76547833,63823.8745985756,365210.729651483,529020.652480746,2206601.68846863,451738.319027632,1704356.65007254,5550866.97260135,1084207.92782181,1667804.56072775,105765.130918931,1177838.45414371,592421.004065767
"DAG","DAG 32:5",915244.849910564,1160294.93499738,1107962.29979511,2411705.49376259,3161276.63362116,1335352.18720162,1571659.62726819,1323425.40362049,1322800.96646509,1129272.7642148,1117290.4717071,1047460.88265908,931963.394031889,1137449.57193778,1648944.00414709,1572817.53495102,660844.031350471,1748910.73925882,1159353.56543108,2227772.61521149,582252.165055722,881018.308942892,1820875.72641737,696410.039580414,649588.764910495,410322.586985288,718936.102908203,1044523.97644584,990358.247748621,2588746.33094318,759568.37285665,1724338.21219867,1513103.71930443,1204397.19308594,1091923.19752661,935317.428679339
"DAG","DAG 32:8 +1O",5612733.56573213,8073881.49266303,1144523.91818535,40188675.2559608,28793790.8427427,8752665.17699628,9767403.62067379,974735.609125888,11635248.2897218,3585054.38627439,738518.413931276,8517527.66361853,1382912.41387617,2811953.03040701,7706283.7006065,36369285.4565341,3009150.09002667,13954282.0786882,2314811.50646225,31151513.2999878,3579871.49102634,7214071.8196407,3379888.91796744,1183691.72594535,850168.202025962,1932299.88780876,9271096.54062361,2610961.46905986,1795430.76050162,9315474.14424541,4741924.47885422,13295469.3136853,7948357.07939929,2512772.91806696,6958546.54065404,3194650.06403685
"DAG","DAG 34:1",1768710.12551359,1940472.59799909,883553.245040766,932412.867252783,1062767.39961611,1724266.28743704,1669866.55951324,969119.32287655,2776771.50365832,698797.318907222,1436986.38061868,1335148.71694286,1689096.71711947,3114272.68886132,1620283.58246671,1002835.30247909,1625755.68025422,1325038.86657484,5206066.1557156,1328629.26165113,920427.351838255,1538236.59758353,1400430.84838233,3882616.839128,1604066.5817888,725173.096095395,2280729.13451746,1043079.36396365,2190308.7793992,1486286.89459977,2746633.79170026,3092996.95141283,2328314.10567521,1815736.46598818,1488719.29354142,972873.448386346
"DAG","DAG 34:9",912551.735908001,1868053.84176327,1134193.20720678,1083884.81562305,2063847.56428667,1782755.34371189,2117475.07513039,772979.539584007,2079561.49246652,2699902.0337265,1678513.76576121,3181664.5123201,581172.739533057,109012.164137068,1498646.65713609,1057326.26910344,704047.452448369,912869.016033864,1317103.41586659,1279238.02125356,3143334.20432068,1336067.4711274,2532460.41846101,597992.222674031,201059.034837963,573585.078261535,1522674.79971572,934345.134460714,2024573.16999348,2320267.98917857,3041666.74615674,2344904.01824922,4637242.26753354,221753.9139178,3708598.30175534,3031552.90622999
"DAG","DAG 34:9 +1O",822432.78166672,880263.270330331,331734.519042716,527351.684062443,1362109.081639,755670.809233837,1024764.12323343,37373.4271239239,808486.435503444,185900.490894403,23296.6342874728,2212873.55239539,17625.3505481314,272228.665584486,1003079.33619623,551962.858976297,483404.554595616,809038.066869144,1189025.58075263,593907.939185725,46610.9169207758,1099835.62279573,1121043.47216831,242488.744118452,95722.1494587358,601852.450314244,1127557.65503552,313690.11078462,84117.421188199,1253338.29961412,676580.808052092,792888.663784536,1947418.61107989,188016.9511856,1652986.16787832,738451.124102045
"DAG","DAG 36:0 +3O",33229.7627068336,245978.975618951,0,16140300.2279862,5378030.84913244,158765.414286098,115252.05967915,0,537114.609469513,0,0,0,0,0,0,9984305.25514985,0,3875339.03829218,441562.455398732,18137004.4700527,0,0,0,0,0,0,0,0,0,4813811.85712924,0,204423.163085523,0,0,0,0
"DAG","DAG 36:1",6095760.14058731,9601401.81704794,5858841.98882308,5491507.24320197,4935715.08731063,7913074.87734557,7060117.68409696,5150528.54384739,10625480.6753339,5352036.64600108,8812844.78333802,4885262.10802352,10104161.890179,11527241.7934514,4248201.10824,5834297.70056171,7182460.16613359,6994292.75570645,26097509.7723221,8263982.51041677,6718655.40687142,5751220.24566282,13017499.1186514,17015334.9254593,10094068.6214182,5192951.38321524,8215706.92164676,5088325.12509822,9472971.55635334,10355103.1304095,11409410.3648635,14959558.6652257,10622576.2080386,9824059.21093225,7692082.84899386,4691030.76484229
"DAG","DAG 36:10",382847.196711844,1633686.49080566,762476.030362852,1273971.82368093,829200.944276218,1407978.10247036,1548897.91113773,5445218.33016471,1165441.70571459,5577099.30301489,4592649.77205242,959255.475588236,4265735.78897593,114969.714870777,2536454.7130371,1222526.16058234,927962.353746399,61351.9000913961,81598.6245767718,921392.836895844,5019996.25265095,1831112.37804013,184366.57549152,601331.328783313,441162.759679652,292738.644726596,870621.608936293,1239124.63528613,4033838.48158164,1194240.34937589,4600789.0562863,2092999.62185816,3782058.90064745,64023.1228453912,2643129.40378965,1574217.21153677
"DAG","DAG 38:0",2402910.80182062,2346850.45975391,3052275.10140139,1872292.09355921,1800251.0624273,2408411.5445528,2537554.66259,1357491.25848586,4518045.63510993,1075966.85327058,1458597.85449065,1717968.16404446,2026995.10855584,6298612.25005141,2290842.09985908,715210.7764377,1409941.70367227,892991.001672338,3425508.35062532,1115214.37242751,933919.719707074,1132265.02708855,984285.205982852,1410953.35214243,1650543.93619765,812382.434441364,1089767.4381404,649118.397819281,1939356.09303442,1074218.36524789,9850343.66406973,2306391.83497359,940521.402114423,2420565.6650716,1219211.26664158,1375814.33359234
"DAG","DAG 38:10",1546734.39126719,2088430.90993771,1929885.60384137,6371596.49154059,4072915.78533844,1847471.74867126,1815329.80414397,1370104.71425508,1745138.70862465,3701899.66759735,1733190.42364606,2124957.39618133,1070670.5985816,1218946.11235809,2155384.03415503,4941814.99890867,1768109.87530139,1517175.19146914,629348.145280388,6196423.21767821,3032508.80580558,1334556.74342255,5841169.72040619,1995542.45985918,717562.216098433,1053164.42365079,1569073.97946805,2118302.05167173,3283796.04212902,3080620.29896762,3270415.79073666,3548978.40603424,4009185.52515724,905669.325178856,3539391.04377389,3981496.19288331
"DAG","DAG 38:2",1956280.68457734,732136.596370727,2145138.47957824,1937322.92334027,1366456.75797679,2296101.62656748,1704285.490073,1100294.15188113,4381332.3580189,1881008.77147709,3238912.59996693,2096388.15740163,3717095.7583805,8235607.25331833,940871.652621378,1303444.19655044,1690361.17372195,2558922.06771878,7123448.79943258,2434224.06518695,2201419.06160215,1945725.27683842,3544897.44338374,6824230.39117624,4572731.41681079,1944614.23204418,2069462.74534748,1873458.64856564,3629016.55314158,2088141.68168376,2436667.03223712,5189234.34161869,8061334.63397818,3580374.63881016,5321272.66299059,1252074.96679698
"DAG","DAG 38:7",4298954.13312175,2441561.47798938,1949138.31362655,16944495.2055287,7754172.08429152,2854649.39782732,2889206.03590036,1549868.25944087,2589260.12879555,3858020.97139029,1418654.41292936,4002793.07712935,1314886.49658026,1743763.96267338,9788896.67774638,18971928.1205973,11089275.4947368,2478235.96976461,1028995.60278308,23301579.8251824,3891346.96966362,11039191.9789442,13594310.6938514,2989118.98300312,708527.441110205,3749616.29271476,5022278.33539321,11373868.2157283,1972490.45326194,8809624.92435401,23926739.985561,6505117.26692228,7769012.91412537,2299165.95078574,7851282.19082403,5239683.04506466
